sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
57381B,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Heavy Duty Lo Density Plastic Bags/Flat Merchandise Bags,Bags LO D 15x18+3 2.25MIL Blac,Bags LO D 15x18+3 2.25MIL Blac,,0,1,Taxable Goods,"Catalog, Search",121.43,,,,bags-lo-d-15x18+3-2.25mil-blac-57381B,,,,/57381B_base.jpg,Bags LO D 15x18+3 2.25MIL Blac base image,/57381B_base.jpg,Bags LO D 15x18+3 2.25MIL Blac small image,/57381B_base.jpg,Bags LO D 15x18+3 2.25MIL Blac thumbnail,,,,,,,,1,0,1,base,0,0
57387,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Heavy Duty Lo Density Plastic Bags/Super Gloss,Bags LO D 15x18+3 2.25MIL,Bags LO D 15x18+3 2.25MIL,,0,1,Taxable Goods,"Catalog, Search",121.43,,,,bags-lo-d-15x18+3-2.25mil-57387,,,,/57387_base.jpg,Bags LO D 15x18+3 2.25MIL base image,/57387_base.jpg,Bags LO D 15x18+3 2.25MIL small image,/57387_base.jpg,Bags LO D 15x18+3 2.25MIL thumbnail,,,,,,,,1,0,1,base,0,0
5738M,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Heavy Duty Lo Density Plastic Bags/Flat Merchandise Bags,Bags LO D 15x18+3 2.25 Mil,Bags LO D 15x18+3 2.25 Mil,,0,1,Taxable Goods,"Catalog, Search",121.43,,,,bags-lo-d-15x18+3-2.25-mil-5738M,,,,/5738M_base.jpg,Bags LO D 15x18+3 2.25 Mil base image,/5738M_base.jpg,Bags LO D 15x18+3 2.25 Mil small image,/5738M_base.jpg,Bags LO D 15x18+3 2.25 Mil thumbnail,,,,,,,,1,0,1,base,0,0
5738T,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Heavy Duty Lo Density Plastic Bags/Flat Merchandise Bags,Bags LO D 15x18+3 2.25MIL Teal,Bags LO D 15x18+3 2.25MIL Teal,,0,1,Taxable Goods,"Catalog, Search",121.43,,,,bags-lo-d-15x18+3-2.25mil-teal-5738T,,,,/5738T_base.jpg,Bags LO D 15x18+3 2.25MIL Teal base image,/5738T_base.jpg,Bags LO D 15x18+3 2.25MIL Teal small image,/5738T_base.jpg,Bags LO D 15x18+3 2.25MIL Teal thumbnail,,,,,,,,1,0,1,base,0,0
5741,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Low density Plastic Bags/Heavy Duty Lo Density Plastic Bags/Patch Handle,Bags Patch Handle 12x15 2.25MI,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,17.825,1,Taxable Goods,"Catalog, Search",106.25,,,,bags-patch-handle-12x15-2.25mi-5741,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/5741_base.jpg,Bags Patch Handle 12x15 2.25MI base image,/5741_base.jpg,Bags Patch Handle 12x15 2.25MI small image,/5741_base.jpg,Bags Patch Handle 12x15 2.25MI thumbnail,,,,,,,,1,0,1,base,0,0
5741B,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Heavy Duty Lo Density Plastic Bags/Patch Handle,Bags Patch Handle 12x15 2.25MI,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,17.825,1,Taxable Goods,"Catalog, Search",106.25,,,,bags-patch-handle-12x15-2.25mi-5741B,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/5741B_base.jpg,Bags Patch Handle 12x15 2.25MI base image,/5741B_base.jpg,Bags Patch Handle 12x15 2.25MI small image,/5741B_base.jpg,Bags Patch Handle 12x15 2.25MI thumbnail,,,,,,,,1,0,1,base,0,0
5742,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Low density Plastic Bags/Heavy Duty Lo Density Plastic Bags/Patch Handle,Bags Patch Handle 12x15 2.25MI,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,17.825,1,Taxable Goods,"Catalog, Search",106.25,,,,bags-patch-handle-12x15-2.25mi-5742,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/5742_base.jpg,Bags Patch Handle 12x15 2.25MI base image,/5742_base.jpg,Bags Patch Handle 12x15 2.25MI small image,/5742_base.jpg,Bags Patch Handle 12x15 2.25MI thumbnail,,,,,,,,1,0,1,base,0,0
5743,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Low density Plastic Bags/Heavy Duty Lo Density Plastic Bags/Patch Handle,Bags Patch Handle 12x15 2.25MI,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,25.3,1,Taxable Goods,"Catalog, Search",106.25,,,,bags-patch-handle-12x15-2.25mi-5743,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/5743_base.jpg,Bags Patch Handle 12x15 2.25MI base image,/5743_base.jpg,Bags Patch Handle 12x15 2.25MI small image,/5743_base.jpg,Bags Patch Handle 12x15 2.25MI thumbnail,,,,,,,,1,0,1,base,0,0
5745,,Default,simple,Default Category/Shopping Bags/Plastic Bags/Low density Plastic Bags/Heavy Duty Lo Density Plastic Bags/Patch Handle,Bags Patch Handle 12x15 2.25,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,17.825,1,Taxable Goods,"Catalog, Search",106.25,,,,bags-patch-handle-12x15-2.25-5745,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/5745_base.jpg,Bags Patch Handle 12x15 2.25 base image,/5745_base.jpg,Bags Patch Handle 12x15 2.25 small image,/5745_base.jpg,Bags Patch Handle 12x15 2.25 thumbnail,,,,,,,,1,0,1,base,0,0
57490001,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD White,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-white-57490001,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490001_base.jpg,Wraphia Matte 100 YD White base image,/57490001_base.jpg,Wraphia Matte 100 YD White small image,/57490001_base.jpg,Wraphia Matte 100 YD White thumbnail,,,,,,,,1,0,1,base,0,0
57490002,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Pink,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-pink-57490002,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490002_base.jpg,Wraphia Matte 100 YD Pink base image,/57490002_base.jpg,Wraphia Matte 100 YD Pink small image,/57490002_base.jpg,Wraphia Matte 100 YD Pink thumbnail,,,,,,,,1,0,1,base,0,0
57490003,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Blue,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-blue-57490003,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490003_base.jpg,Wraphia Matte 100 YD Blue base image,/57490003_base.jpg,Wraphia Matte 100 YD Blue small image,/57490003_base.jpg,Wraphia Matte 100 YD Blue thumbnail,,,,,,,,1,0,1,base,0,0
57490004,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Taupe,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.25,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-taupe-57490004,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490004_base.jpg,Wraphia Matte 100 YD Taupe base image,/57490004_base.jpg,Wraphia Matte 100 YD Taupe small image,/57490004_base.jpg,Wraphia Matte 100 YD Taupe thumbnail,,,,,,,,1,0,1,base,0,0
57490005,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Yellow,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-yellow-57490005,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490005_base.jpg,Wraphia Matte 100 YD Yellow base image,/57490005_base.jpg,Wraphia Matte 100 YD Yellow small image,/57490005_base.jpg,Wraphia Matte 100 YD Yellow thumbnail,,,,,,,,1,0,1,base,0,0
57490007,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Aqua,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-aqua-57490007,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490007_base.jpg,Wraphia Matte 100 YD Aqua base image,/57490007_base.jpg,Wraphia Matte 100 YD Aqua small image,/57490007_base.jpg,Wraphia Matte 100 YD Aqua thumbnail,,,,,,,,1,0,1,base,0,0
57490008,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Lavender,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-lavender-57490008,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490008_base.jpg,Wraphia Matte 100 YD Lavender base image,/57490008_base.jpg,Wraphia Matte 100 YD Lavender small image,/57490008_base.jpg,Wraphia Matte 100 YD Lavender thumbnail,,,,,,,,1,0,1,base,0,0
57490009,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Purple,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-purple-57490009,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490009_base.jpg,Wraphia Matte 100 YD Purple base image,/57490009_base.jpg,Wraphia Matte 100 YD Purple small image,/57490009_base.jpg,Wraphia Matte 100 YD Purple thumbnail,,,,,,,,1,0,1,base,0,0
57490010,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Robins,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.25,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-robins-57490010,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490010_base.jpg,Wraphia Matte 100 YD Robins base image,/57490010_base.jpg,Wraphia Matte 100 YD Robins small image,/57490010_base.jpg,Wraphia Matte 100 YD Robins thumbnail,,,,,,,,1,0,1,base,0,0
57490011,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Tropical,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.25,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-tropical-57490011,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490011_base.jpg,Wraphia Matte 100 YD Tropical base image,/57490011_base.jpg,Wraphia Matte 100 YD Tropical small image,/57490011_base.jpg,Wraphia Matte 100 YD Tropical thumbnail,,,,,,,,1,0,1,base,0,0
57490012,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Royal,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-royal-57490012,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490012_base.jpg,Wraphia Matte 100 YD Royal base image,/57490012_base.jpg,Wraphia Matte 100 YD Royal small image,/57490012_base.jpg,Wraphia Matte 100 YD Royal thumbnail,,,,,,,,1,0,1,base,0,0
57490013,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Red,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-red-57490013,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490013_base.jpg,Wraphia Matte 100 YD Red base image,/57490013_base.jpg,Wraphia Matte 100 YD Red small image,/57490013_base.jpg,Wraphia Matte 100 YD Red thumbnail,,,,,,,,1,0,1,base,0,0
57490014,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Wraphia Matte 100 YD Banana,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.25,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-banana-57490014,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490014_base.jpg,Wraphia Matte 100 YD Banana base image,/57490014_base.jpg,Wraphia Matte 100 YD Banana small image,/57490014_base.jpg,Wraphia Matte 100 YD Banana thumbnail,,,,,,,,1,0,1,base,0,0
57490015,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Wraphia & Raffia/Wraphia,Wraphia Matte 100 YD Gold,"<font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica"">Wraphia in Matte Colors</font>&nbsp;is a synthetic alternative to natural raffia for your retail store. Colorfast and gentler on the hands. Continuous 100 yard roll is easy to use, reducing mess and waste.&nbsp;<br><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Order wraphia by the roll. </span><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each&nbsp;roll is 100 yards.</span> </font></font>",Wraphia in Matte Colors,0.1955,1,Taxable Goods,"Catalog, Search",5.11,,,,wraphia-matte-100-yd-gold-57490015,Wraphia Synthetic Raffia Ribbon - Matte Colors,wraphia ribbon synthetic raffia gift wrap retail store supplies,"Gift wrap, ribbon and tissue paper for sale online including Wraphia synthetic raffia ribbon in multiple colors. Buy retail supplies, display equipment and packaging at AmericanRetailSupply.com.",/57490015_base.jpg,Wraphia Matte 100 YD Gold base image,/57490015_base.jpg,Wraphia Matte 100 YD Gold small image,/57490015_base.jpg,Wraphia Matte 100 YD Gold thumbnail,,,,,,,,1,0,1,base,0,0
